,tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone,sentence_bow,sentence_bow_lem,sentence_dl
191,569304030847090688,negative,1.0,Flight Booking Problems,0.6705,Virgin America,,alexrkonrad,,0,@VirginAmerica trying to book a flight with you guys and your website won't let me... about to lose my business,,2015-02-21 17:13:52 -0800,"New York, NY",Eastern Time (US & Canada),virginamerica trying book flight guys website n't let ... lose business,virginamerica trying book flight guy website n't let ... lose business,virginamerica trying to book a flight with you guys and your website wo n't let me ... about to lose my business
192,569303931916038144,negative,1.0,Can't Tell,1.0,Virgin America,,MarwaYousofzoy,,0,@VirginAmerica you suck!,,2015-02-21 17:13:29 -0800,,,virginamerica suck,virginamerica suck,virginamerica you suck !
194,569290361870426112,negative,1.0,Flight Booking Problems,0.6648,Virgin America,,MaximWheatley,,0,@VirginAmerica Just DM'd. Same issue persisting.,,2015-02-21 16:19:33 -0800,"Washington, DC",Atlantic Time (Canada),virginamerica just same issue persisting,virginamerica just same issue persisting,virginamerica just dm 'd . same issue persisting .
195,569282249717194754,negative,1.0,Cancelled Flight,1.0,Virgin America,,FiDiFamilies,,0,@VirginAmerica Because we never rec'd Cancelled Flightlation notice we were left w no options to fly out of PS. Driving to LA for a red eye Mon w kids,,2015-02-21 15:47:19 -0800,New York City ,Eastern Time (US & Canada),virginamerica because never rec cancelled flightlation notice left options fly driving red eye mon kids,virginamerica because never rec cancelled flightlation notice left option fly driving red eye mon kid,virginamerica because we never rec 'd cancelled flightlation notice we were left w no options to fly out of ps . driving to la for a red eye mon w kids
196,569277854950817792,negative,1.0,Flight Booking Problems,1.0,Virgin America,,lexiesalas,,0,@VirginAmerica trying to book a flight &amp; your site is down 😁,,2015-02-21 15:29:51 -0800,BAYAREA✈️NYC,Pacific Time (US & Canada),virginamerica trying book flight amp site,virginamerica trying book flight amp site,virginamerica trying to book a flight & amp ; your site is down 😁
198,569263837448269826,negative,1.0,Cancelled Flight,1.0,Virgin America,,NancyJFriedman,,0,@VirginAmerica you stink. Flight Cancelled Flighted from PSP to JFK and no notification or ability to rebook #disappointed.  #expected better,,2015-02-21 14:34:09 -0800,New York City,Eastern Time (US & Canada),virginamerica stink flight cancelled flighted psp jfk notification ability rebook disappointed expected better,virginamerica stink flight cancelled flighted psp jfk notification ability rebook disappointed expected better,virginamerica you stink . flight cancelled flighted from psp to jfk and no notification or ability to rebook disappointed . expected better
200,569262225900359680,negative,1.0,Customer Service Issue,0.6733,Virgin America,,MaximWheatley,,0,@VirginAmerica Your website is down and I'm trying to check in!,,2015-02-21 14:27:45 -0800,"Washington, DC",Atlantic Time (Canada),virginamerica your website trying check,virginamerica your website trying check,virginamerica your website is down and i 'm trying to check in !
210,569247394002563072,negative,1.0,Late Flight,1.0,Virgin America,,wmrrock,,0,@VirginAmerica flight 404 delayed 2 hours in LA due to mechanical problems. Handle like pros but you could have tossed us a free drink.,,2015-02-21 13:28:49 -0800,CT,Eastern Time (US & Canada),virginamerica flight 404 delayed hours due mechanical problems handle like pros could tossed free drink,virginamerica flight 404 delayed hour due mechanical problem handle like pro could tossed free drink,virginamerica flight 404 delayed 2 hours in la due to mechanical problems . handle like pros but you could have tossed us a free drink .
213,569238877178716161,negative,1.0,Cancelled Flight,0.6735,Virgin America,,MistakeCakeJake,,0,@VirginAmerica You guys charged me $100 to reschedule a flight that was then Cancelled Flighted and are now refusing to refund it. What's the deal?,,2015-02-21 12:54:58 -0800,,Central Time (US & Canada),virginamerica you guys charged 100 reschedule flight cancelled flighted refusing refund what deal,virginamerica you guy charged 100 reschedule flight cancelled flighted refusing refund what deal,virginamerica you guys charged me $ 100 to reschedule a flight that was then cancelled flighted and are now refusing to refund it . what 's the deal ?
214,569237252154372097,negative,1.0,Customer Service Issue,0.6968,Virgin America,,NoelArtiles,,0,@VirginAmerica can’t access your website from Safari on iPhone 6. Seems to work on Mac and iPad. Need iPhone to add Passbook.,"[0.0, 0.0]",2015-02-21 12:48:31 -0800,"Austin, TX",Central Time (US & Canada),virginamerica access website safari iphone seems work mac ipad need iphone add passbook,virginamerica access website safari iphone seems work mac ipad need iphone add passbook,virginamerica can ’ t access your website from safari on iphone 6 . seems to work on mac and ipad . need iphone to add passbook .
218,569229785500680192,negative,1.0,Cancelled Flight,0.6452,Virgin America,,aaronkurlander,,0,"@VirginAmerica why Cancelled Flight flight VX413? One sec its delayed, on my to airport, the next its Cancelled Flightled?Gonna email or call me to reschedule?",,2015-02-21 12:18:51 -0800,"New York, NY",Eastern Time (US & Canada),virginamerica cancelled flight flight vx413 one sec delayed airport next cancelled flightled gon email call reschedule,virginamerica cancelled flight flight vx413 one sec delayed airport next cancelled flightled gon email call reschedule,"virginamerica why cancelled flight flight vx413 ? one sec its delayed , on my to airport , the next its cancelled flightled ? gon na email or call me to reschedule ?"
219,569226875349835776,negative,1.0,Customer Service Issue,0.6766,Virgin America,,borknagar,,0,@VirginAmerica I did it but there was a problem in the link from the email for check-in. thanks,,2015-02-21 12:07:17 -0800,chile,Santiago,virginamerica problem link email check thanks,virginamerica problem link email check thanks,virginamerica i did it but there was a problem in the link from the email for check in . thanks
220,569224234150404096,negative,1.0,Flight Booking Problems,0.6954,Virgin America,,propsonline,,0,@VirginAmerica had to change to another airline to get to DC today ... Why is @united able to land in DC but not you? Cost me $800 ...ugh,,2015-02-21 11:56:47 -0800,"California, USA",Pacific Time (US & Canada),virginamerica change another airline get today ... why united able land cost 800 ... ugh,virginamerica change another airline get today ... why united able land cost 800 ... ugh,virginamerica had to change to another airline to get to dc today ... why is united able to land in dc but not you ? cost me $ 800 ... ugh
221,569223788639821824,negative,1.0,Cancelled Flight,1.0,Virgin America,,propsonline,,0,@VirginAmerica I was so looking forward to my first flight with you today but it was Cancelled Flightled along with the subsequent one ...,,2015-02-21 11:55:01 -0800,"California, USA",Pacific Time (US & Canada),virginamerica looking forward first flight today cancelled flightled along subsequent one ...,virginamerica looking forward first flight today cancelled flightled along subsequent one ...,virginamerica i was so looking forward to my first flight with you today but it was cancelled flightled along with the subsequent one ...
224,569221156504530944,negative,1.0,Can't Tell,0.6526,Virgin America,,shounshounette,,0,@VirginAmerica  how are you gonna have a deal from Dallas to DC but no deal from DC to Dallas? #sad,,2015-02-21 11:44:33 -0800,,,virginamerica gon deal dallas deal dallas sad,virginamerica gon deal dallas deal dallas sad,virginamerica how are you gon na have a deal from dallas to dc but no deal from dc to dallas ? sad
226,569218762907324416,negative,1.0,Customer Service Issue,1.0,Virgin America,,DonnellyPatrick,,0,@VirginAmerica hold times at call center are a bit much,,2015-02-21 11:35:03 -0800,SF Bay Area,Pacific Time (US & Canada),virginamerica hold times call center bit much,virginamerica hold time call center bit much,virginamerica hold times at call center are a bit much
242,569192778468626432,negative,1.0,Customer Service Issue,1.0,Virgin America,,bluesmoon,,0,"@VirginAmerica the CSS on your site is a 404 right now, please fix. Site unusable.",,2015-02-21 09:51:48 -0800,"Cambridge, MA, USA, Earth",Eastern Time (US & Canada),virginamerica css site 404 right please fix site unusable,virginamerica cs site 404 right please fix site unusable,"virginamerica the css on your site is a 404 right now , please fix . site unusable ."
250,569028851860254720,negative,1.0,Flight Booking Problems,0.6809,Virgin America,,alanzeino,,0,@VirginAmerica current bug on website shows ‘select departure city’ when selecting destination city http://t.co/SLLYIBE2vQ,,2015-02-20 23:00:24 -0800,San Francisco,Pacific Time (US & Canada),virginamerica current bug website shows select departure city selecting destination city t.co sllyibe2vq,virginamerica current bug website show select departure city selecting destination city t.co sllyibe2vq,virginamerica current bug on website shows ‘ select departure city ’ when selecting destination city : t.co sllyibe2vq
251,569022319437357056,negative,1.0,Damaged Luggage,1.0,Virgin America,,khartline,,0,@VirginAmerica luggage was severely dented/missing wheel coming off baggage claim in SAN. Luggage agent Miranda (I think) wasn't any help.,,2015-02-20 22:34:27 -0800,Las Vegas,Pacific Time (US & Canada),virginamerica luggage severely dented missing wheel coming baggage claim san luggage agent miranda think n't help,virginamerica luggage severely dented missing wheel coming baggage claim san luggage agent miranda think n't help,virginamerica luggage was severely dented missing wheel coming off baggage claim in san . luggage agent miranda ( i think ) was n't any help .
259,568945958970531840,negative,1.0,Bad Flight,0.6765,Virgin America,,HenryLucero,,0,@VirginAmerica requested window seat and confirmed window but got stuck in middle seat. Not a good way to treat silver member😒,,2015-02-20 17:31:01 -0800,"Los Angeles, CA",,virginamerica requested window seat confirmed window got stuck middle seat not good way treat silver member😒,virginamerica requested window seat confirmed window got stuck middle seat not good way treat silver member😒,virginamerica requested window seat and confirmed window but got stuck in middle seat . not a good way to treat silver member😒
263,568940002849255425,negative,1.0,Customer Service Issue,0.6633,Virgin America,,Alex_Ricardo,,0,@VirginAmerica there is something wrong with you website in Safari iPhone,,2015-02-20 17:07:21 -0800,Montreal,Eastern Time (US & Canada),virginamerica something wrong website safari iphone,virginamerica something wrong website safari iphone,virginamerica there is something wrong with you website in safari iphone
